@JohnRenfro2016 Do you think it could be a 4th round of covid?,,en
"Oigan pasar año nuevo con covid en mi cuarto está en el top 3 de momentos más tristes de mi vida, que hp día tan deprimente",,es
"RT @PeterSweden7: 1. First they said the mRNA vaccine would stop you from getting covid at all.

2. Then they said it doesn't stop infectio…",,en
COVID-19 virus has been in China for three years…I want to go back to “yesterday ”without COVID-19… https://t.co/cSIszD5yGi,,en
"RT @GOPLeader: The Covid vaccine mandate in the military is wrong.

Our heroes have been fired. Our country is less safe.

I told the Presi…",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
RT @BreeNewsome: I promise you nothing will be more damaging longterm to the economy than creating a situation where people are forced to b…,,en
RT @Jima_Sofia: Vamos a fingir demencia frente a esta nueva ola de Covid no? estamos todos de acuerdo?,,es
"RT @brixwe: Thomas Renz: We have incentivized the murder of patients rather than incentivize treatment...When you get admitted for COVID, t…",,en
"RT @ItsDeanBlundell: Happy birthday COVID! 3 years ago today a man in Wuhan became the world’s fist COVID case. Since then, 6.6 million hav…",,en
@POTUS Oh thank god that Covid is over.,,en
RT @digiphile: @elonmusk Did @Tim_Cook tell you what under conditions @Apple would consider removing @Twitter from the App Store in the fut…,,en
RT @YatinMota: China few mins back issues circular indicating soften stance of COVID Lockdowns,,en
"@CanadianGirlHcw @GidMK Reminder that the general public consistently overestimates the danger of covid, not under (as you imply)
https://t.co/9IP9qWtyNV",,en
"RT @kksheld: Reflecting on the COVID villains, who is the evil mastermind behind of denial of natural immunity?",,en
"RT @DaAcervo: Em SP há escolas infantis que também estão cobrando dos pais que tenham vacinado os filhos contra o Covid 19.
Sei disso pq te…",,pt
"RT @LynnMor01381535: This is an inhumane video of
3 men forcing a woman to take an anal swab by bending and twisting her arm. 
Remove the w…",,en
@RenaudMuselier @InseeFr @Elisabeth_Borne @BrunoLeMaire Vous nous refaites le coup des chiffres pipeautés comme avec la covid???  Vous avez pris goût  au mensonge sans limite...,,fr
RT @xellos04763: @danaparish You can’t even access Covid treatment unless you can prove an underlying condition.  If you are healthy they w…,,en
RT @BMeiselas: So how will the right wingers who have been screaming about a nonexistent chip inside the Covid vaccines react to him litera…,,en
RT @jsolomonReports: Watch:  CDC knew COVID vax associated with myocarditis but left off post-vax surveys  | Just The News https://t.co/67u…,,en
"RT @CNN: Video obtained by CNN shows violence in China at Foxconn, the world's largest iPhone factory. Workers are protesting unfair treatm…",,en
RT @macaulayporter: .@GovernorVA and GOP governors ask for immediate action to remove and prohibit President Biden’s COVID-19 vaccine manda…,,en
RT @NSFWSHO: I said I wouldn’t share my artwork. But i did this also with Covid brain. I thought I was funny. https://t.co/RrT94mm9yV,,en
"RT @wienerlibrary: 'By comparing the impact of coronavirus regulations with the persecution of Jews during the Holocaust, the adoption of t…",,en
RT @adamcarolla: 94% of Covid deaths were people over  the age of 50. They knew this along time ago but they wanted to scare the moms,,en
"@alexmeshkin @CdotBrogan Sadly, my favorite COVID test, the @DetectTest, is no longer in production 🥺",,en
"RT @TuckerToday: Cardiologist @DrAseemMalhotra suffered a recent, personal tragedy &amp; joins us to share his thoughts on possible harmful eff…",,en
"I know living in New Zealand i will be judged for our lawn. This is what's been ignored after getting COVID, and it raining lots. I've been told I have to rest.  Great for wildlife though right? https://t.co/VcSqKWN9WL",,en
"RT @shelnutt_greg: Washington Post: Vaccinated Are the Majority of COVID Deaths.  The “vaccine” doesn’t work, has never worked and is never…",,en
RT @kcinor: @sherry2diamond @VtTbQW9s3xjPOow @Darkmarketbaby @TwoSides1Truth @S51781902 @Gigi69030829 @Una_Alta_Volta @Kimberl47031679 @Res…,,en
@BohemianAtmosp1 Let's compare the *typical Covid symptoms* list (left) with the list of adverse events of special interest from Phizer's death darts (right) 🥴👇 https://t.co/6x6P9zb3G4,,en
"@Joddon3 @AdversAerialOne @pewpewpedoo @honestsportz @scrowder the subject of the sentence is the COVID shot and ur very clearly describing it and not the flu shot in the sentence. u believed that mRNA contains a weakened form of the virus. thats wrong, and u realized that, so now youre lying. its ok to be wrong just admit it",,en
"Our monopoly-capitalist rulers, reeling from repeated crises, want to redirect our outrage to the governments of foreign “enemy” countries. That's why China absolutely must be demonized by the imperialist media.

The latest from editor 
@m1vql1hdwt

https://t.co/OBmEVPC27L",,en
RT @msalnacion: El Ministerio de Salud de la Nación informa que son falsos los mensajes que están viralizándose por Whatsapp sobre la “nuev…,,es
RT @jenniferzeng97: Graphic warning! I cried when watching this. Woman forced to labor standing in front of Gulan People's Hospital in Gula…,,en
RT @RafaelH117: The Bianconeri agreed to pay the five time Ballon d’Or winner under the table despite stating that wages had been frozen in…,,en
"RT @GOPLeader: The Covid vaccine mandate in the military is wrong.

Our heroes have been fired. Our country is less safe.

I told the Presi…",,en
"@kadamssl I would have been thrilled to see you on a recent round trip cross country flight where hardly anyone else was masked. We had good n95s, but no goggles. Happy to say we returned healthy. Our neighbor flew to London and back, no mask. Seriously sick with Covid.",,en
RT @luckymina02: #Raj_covid_health_assistend https://t.co/WBDgI9yory,,qme
@SenTedCruz Old news!  The military requires multiple vaccinations.  Why should covid be any different than malaria.,,en
"RT @MicheleRivasi: En commission COVID, j'ai interrogé les experts : comment qualifient-ils le fait que la firme américaine du mari de la p…",,fr
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"@ryangerritsen They look like a bunch of psychopaths. So embarrassing. Covid theatre is over, the jig is up you pedos. Get real 🤡🎪",,en
RT @DonLew87: Yale study finds excess deaths during the Covid-19 pandemic were impacted by political affiliation and that the partisan gap…,,en
RT @elheraldoco: A 36 mil cae el número de casos de la covid-19 en China; 87 % asintomáticos ➡ https://t.co/rpCiwlzohH https://t.co/NUSn0h0…,,es
"World Bank: India to receive $100 billion in remittances in 2022
#Central_Asia #China #covid_19 #Dilip_Ratha #East_Asia #GlobalKNOMAD #Latin_America #Mexico #Nepal #North_Africa #Pacific #Philippines #Russia #South_Asia #TwitterIndia #World_Bank #Biz ...
https://t.co/jW5Us1h3KL",,en
"RT @toadmeister: Britain didn't need Covid booster jabs as they only last 70 days, top virus expert Sir John Bell has said, as he backed na…",,en
"RT @TuckerToday: Cardiologist @DrAseemMalhotra suffered a recent, personal tragedy &amp; joins us to share his thoughts on possible harmful eff…",,en
"RT @GTV26543476: 广州爆发激烈警民冲突后，当局突然宣布一半市区解封 
在广州市海珠区周二晚爆发激烈警民冲突后，广州市当局星期三(11月30日)突然宣布解除多个区的新冠防疫封控。同时，中国警察仍在其他城市搜查参与周末大规模反对严厉封控抗议的民众。
https://…",,zh
RT @EndDayz444: What if the Covid Jab is not the only Jab that had mass die offs and side effects 🥸 https://t.co/tpPUZBZdun,,en
"RT @Laurie_Garrett: Why Do Vaccinated People Represent Most #COVID19 Deaths Right Now? https://t.co/JNCAvSmxFr 
It's because efficacy for #…",,en
"RT @nagadoooo: Almost 24 million disabled from long COVID. 

The population of New York State is 20 million.

Please let that sink in.",,en
RT @jordanbpeterson: The Chinese can protest COVID authoritarianism but supporters of Canadian truckers need to have their bank accounts fr…,,en
"RT @leseerlaubnis: Weil nicht alle wissen, warum ich im Januar 2022 wieder auf Twitter zurück kam: 

Ich sammle hier Informationen dazu, we…",,de
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @DeathPanel_: In our latest, how media framings of long covid emphasize workplace productivity-as-personhood, stigmatize people with the…",,en
@foreignersinTW So? Covid hasn’t gone away…,,en
"RT @limits_stop: ""I will not accept that Covid is a highly dangerous virus""",,en
RT @SarahLerner: Haven’t stopped thinking about this: “The average American would not know that we get fired for going to the doctor…We hav…,,en
RT @JReinerMD: Doctors do have the right to offer their honest opinion to patients but we’ve also always been held potentially legally liab…,,en
RT @JanJekielek: #ChinaProtests: “These are the most significant protests since '89…a boiling over of not just frustration at the very drac…,,en
@Ericfromhere @RonPaulblican2 @DiamondandSilk She has Covid.,,en
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"RT @Liz_Wheeler: Masks are useless.
The covid vaxx is dangerous.
(And ineffective.)
Mandates are evil.
Lockdowns are tyranny.
Fauci funded…",,en
"RT @MerlinofCanada: Another @fordnation FU

Ontario wasted millions of COVID-19 vaccine doses after overestimating booster demand, auditor…",,en
"RT @ajans81: Tedavi için veterinere götürülen bir kanaryanın ölü taklidi yaptığı anların videosu sosyal medyada gündem oldu. 
#EYTicinGeriS…",,tr
me acordé del au del motopapi aaa que buen au me acompañó en mi momento de covid,,es
RT @GusSalvatori: Como ya se había previsto empiezan a repuntar casos de COVID-19 en varios estados del país aquí los estados #UsaCubreboca…,,es
"@DavidSydow12 @MerissaHansen17 Never did just because of Covid.
Many more died each day due to a MULTITUDE of things people die from ALL THE TIME.",,en
RT @sammy4723: Is it time to announce that home tests for COVID don’t pick up the new variants 🦠,,en
"RT @Eno_Bening: Welcome to DDD!!
Destroy, Dream, December!!!

Tahu kah kamu bahwa covid itu ada sekitar tahun 2019.
Dan tahukah kamu bahwa…",,in
RT @DougJBalloon: We wanted to understand what's going on with the COVID protests in China.  So we talked to three unvaccinated Ron DeSanti…,,en
"RT @hkfp: Rallies for China’s Covid-19 protests a sign of ‘fledgling colour revolution,’ Hong Kong security chief says 

https://t.co/GcWYo…",,en
"RT @TGTM_Official: Yuzhong, Gansu, Northwest China. A girl questioned why she was pulled into quarantine while she was not infected with Co…",,en
"@HeartlandSignal It doesn't prevent infection. Bill Clinton, Barack Obama, and Bill Gates all got the vaccine and all still got COVID.",,en
"Municipios con más casos confirmados activos #Covid_19 México:
Mérida, Cancún Chihuahua Iztapalapa Álvaro Obregón Puebla Tlalpan Gustavo A Madero Benito Juárez #CDMX Mexicali Juárez Coyoacán Hermosillo Tijuana Playa del Carmen Cuauhtémoc Nogales San Luis Potosí Campeche Monterrey https://t.co/lnGxgnERrM",,es
"NYC runs 3 long COVID care centers, but many New Yorkers remain unaware. The clinics have fielded 25,000 appointments for long COVID and primary care since opening in early 2022 — a small fraction of the New Yorkers potentially dealing with the condition. https://t.co/arBqWqCKNs",,en
RT @arieella_: Happy birthday Covid?,,en
Can’t stand him especially since I lost Sarah bc of how he handed covid. I just want her back. Still shattered. 💔💔💔💔💔 https://t.co/WP5vv9NnEO,,en
RT @YatinMota: China few mins back issues circular indicating soften stance of COVID Lockdowns,,en
"RT @ItsInPlainSight: @ssosa3 @LionHearted76 @lanicolai Covid, drop boxes, a large gathering to support a president. A plan hatched. Patsies…",,en
"RT @PeterSweden7: 1. First they said the mRNA vaccine would stop you from getting covid at all.

2. Then they said it doesn't stop infectio…",,en
@thinbensolo @JohnMWoodman @TomiLahren They flipped it. You die from say a heart attack and test positive from their highly inaccurate PCR test they count it as a Covid death. They never did this in history but so happen to start doing it during Covid. Dudes a lemming.,,en
"RT @RaulPalacios_22: @infobaeamerica LA OMS YA USO VENENO EN LOS EXPERIMENTOS DE FASE 3 QUE LLAMARON “VACUNAS “, CONTRA EL COVID EN MILLONE…",,es
"@theluisribeiro A seguir á vacina covid está a acontecer o maior genocídio de sempre  na China e não é por causa de seres cristão , o covid ditadura já não está a funcionar pois a China está a matar milhões com as restrições e campos de concentração https://t.co/od4P6pXf1V",,pt
"RT @mazemoore: @BillClinton Take care of yourself. That thing has killed millions of people. As for the Covid, you'll be better in no time.",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
@RachelNotley Powers like covid passports? Mandatory masking? You agree with that.......right petty tyrant?,,en
@AngryBlackLady All the idiots who believed the COVID vaccine had microchips in it will say this is a brilliant idea,,en
"RT @TWN_token: #China: el dia de ayer, murieron 10 personas en un incendio en la ciudad de #Urumqi, #Xinjiang, las vías de escape y las rut…",,es
"@CDCDirector “Study”. Are all of the people in the current administration absolute ignoramuses?  50 years from now, will we be honoring all the Americans who have been a part of the covid 19 vax study?",,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @Liz_Wheeler: Masks are useless.
The covid vaxx is dangerous.
(And ineffective.)
Mandates are evil.
Lockdowns are tyranny.
Fauci funded…",,en
"RT @AFP: China signals possible relaxing of strict zero-tolerance Covid policy, after nationwide protests calling for an end to lockdowns a…",,en
"RT @RaniLyons: @RageSheen So...what is Coatsworth saying about covid now?
Unfolding catastrophe.
Serious.
Significant.
Hasn't he always sai…",,en
"RT @richardursomd: Covid, Cholesterol, Climate Change

Come listen

GSC LIVE‼️Drs. Urso, Cole &amp; Lindley Interview Aseem Malhotra - Covid Sp…",,en
RT @Jereme45: Bill Clinton tested positive for having covid he also tested positive for being on Epstein's Island!,,en
"@johnrich Yes, I am unvaxxed. People who got the COVID vaccine totally respect. But if people would start attacking me that's where the respect end. Luckily I never had to go there.",,en
RT @EmmaRincon: 🚨🇨🇳 | La policía sanitaria de Xi Jinping está literalmente violando por el ano a una mujer en plena calle con una prueba co…,,es
RT @Finanzas_Times: 🇺🇸 Estados Unidos | los medios de comunicación empiezan a reconocer que la mayoría de los que están muriendo por #COVID…,,es
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
RT @SarahLerner: Haven’t stopped thinking about this: “The average American would not know that we get fired for going to the doctor…We hav…,,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
RT @mcfunny: @katieorourke78 @FUDyou2 @SkepticalMutant @ghoppe @Jayboy752 @volpiranyas @crabb_vicki @Mr_Magoo5 @doritmi @TakethatCt @jarbot…,,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
RT @Jereme45: Bill Clinton tested positive for having covid he also tested positive for being on Epstein's Island!,,en
"RT @Mhalukcavusoglu: Covid izninde uyarılarımı dikkate alanlar
Şuan aileleri ile birlikte hayatlarına devam ediyorlar.Bizler mücadelemizi
K…",,tr
"Fuaa, hola covid?",,et
RT @RUDRANARAYANCH4: Bharat Biotech International Limited ने सोमवार (28 नवंबर) को इंट्रा-नेजल वैक्सीन iNCOVACC BBV154 को मंजूरी दे दी। इंको…,,hi
"RT @WSJJapan: 米中逆転の「コロナ対応」力学、つまずく権威主義 
世論や政治の圧力を受けない習主席は、あまりにも長く「ゼロコロナ」に固執
#新型コロナウイルス #米中
https://t.co/fmirRfryI1",,ja
"@achixs gaiso, mas covid",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @ChuckCallesto: BREAKING REPORT: Depositions Reveal Dr. Fauci COULDN'T NAME ANY STUDIES Showing Masks Work Against COVID-19...

MEDIA SI…",,en
"RT @Liz_Wheeler: Masks are useless.
The covid vaxx is dangerous.
(And ineffective.)
Mandates are evil.
Lockdowns are tyranny.
Fauci funded…",,en
@bluetsunamilin You know what actually causes heart problems? COVID,,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @Matt_Fleming321: 29/ Sheriff Ivey's call for everyone to ""arm yourselves"" has been followed by an uptick in homicides in Brevard County…",,en
"RT @Ngborgique: Imagine getting like 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"@DSLadyCop I get that. Just with COVID, I’ve read that section obit too often in recent years. Over the pond, your population curve is about 7-8 years ahead of us. The 92-99 year demographic is growing. They are vulnerable. Stay out of trouble yo!",,en
"RT @Conservadora191: O presidente do Federal Reserve dos EUA, Jerome Powell, diz que a estrita política 'zero-Covid' da China prejudica a c…",,pt
"RT @LucasLealMontes: 🧵”Como oncólogo, veo q las personas con cáncer estable progresan rápidamente (sus cánceres) después d verse obligadas…",,es
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @Liz_Wheeler: Masks are useless.
The covid vaxx is dangerous.
(And ineffective.)
Mandates are evil.
Lockdowns are tyranny.
Fauci funded…",,en
"RT @FEGAY1900: De verdad Long covid? Nos creen estúpidos?
Se llaman efectos secundarios de sus pócimas. https://t.co/twhYyJiRil",,es
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
"RT @OzraeliAvi: #BREAKING: Police in China fire on unarmed civilians protesting harsh Covid lockdowns.

Oh wait, that’s Melbourne.

Carry o…",,en
"@connie_sue22 @DrJamesOlsson From November 2020 before the vaccines. 
https://t.co/RAbxw2TGWv",,en
RT @JReinerMD: The military already mandates 17 other vaccines. Why single out the COVID vaccine? This type of mindless politicization is w…,,en
@profesterman Be interesting to see how Windstar is going - Need a COVID ranking system for cruise lines !,,en
"RT @matthewdmarsden: Hey people that didn’t take the covid 19 vaccination. 

How are we even still alive?",,en
"RT @PeterSweden7: 1. First they said the mRNA vaccine would stop you from getting covid at all.

2. Then they said it doesn't stop infectio…",,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
"@FoxNews 11/28/2022 Reuters: The wave of anger sweeping across cities in China over restrictive COVID curbs, while sparking protests against the CCP authorities in other places around the world. https://t.co/W5p7oom0MC",,en
"RT @QueerlyAutistic: ""I'm a bit sick, but don't worry, it's not covid, so I can still come!"" 

Yeah, okay, but I don't want to get whatever…",,en
RT @SigaGazetaBR: Cidade chinesa suspende restrições da Covid após protestos https://t.co/UlMjKpYLrP,,pt
"@DCDOWORK $XPEV did it in 1, it’s possible. Audit, Covid and ramp up is the 3rd NIO has above the rest of China stocks",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"Las protestas aceleran la salida de China de su desastrosa política ""Covid cero"" https://t.co/ReejGInzoO a través de @Buscndo_lverdad",,es
"RT @johnrackham82: 45 out of 50 governors did NOT force COVID-19 patients into nursing homes. 

These five Soros controlled demons did, and…",,en
RT @subhash46194804: @PSKhachariyawas Hum bhi wait kar rahe h Rahul Gandhi ji ka ....kyunki Rahul Gandhi ji ki sarkar Rajasthan me CHA (COV…,,hi
"RT @nettermike: House Republicans must hold COVID hearings: We need accountability for damage done to school kids, businesses - Fox News ht…",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @Rukwengye: 5. Enjoy it: 
If we hadn't received a grant in 03/2020, it's possible Boundless wouldn’t have survived Covid-19. The future…",,en
"RT @philippeherlin: ⚠️SCANDALE : @france_soir n'est plus reconnu comme un service de presse par la CPPAP, et perd les avantages fiscaux aff…",,fr
"@mattmezinze4 @drivetts @PamKeithFL You need help. Gas started rising before Covid, before Putin, before all of that due to DNC kneecapping our ability to transport crude to refineries. Pumping oil isn't the issue here. You're desperate for these joke ""victories"". It'll go back up. Oil reserves are almost gone.",,en
"RT @ChuckCallesto: BREAKING REPORT: Depositions Reveal Dr. Fauci COULDN'T NAME ANY STUDIES Showing Masks Work Against COVID-19...

MEDIA SI…",,en
if you have covid 19 please put a mask on ur pussy if ur gonna queef all day,,en
RT @EugeniaRolon_: La dictadura china forzó a una mujer a hacerse una prueba anal de COVID. Y estas son las atrocidades que quedan grabadas…,,es
@CatherineOrr73 @beclizs92 @duskywhalerkate @psvbluemts Lockdowns were disproportionately bad for disadvantaged kids but so is covid with higher rates of death &amp; disability in marginalized communities. Children have been orphaned &amp; their carers disabled by covid &amp; some children disabled too. We don’t need to lockdown to improve things,,en
RT @CoronavirusBra1: Há exatos 3 anos um homem em Wuhan fica doente e posteriormente se torna o primeiro caso confirmado de Covid-19. Até o…,,pt
@varix29 Muchas gracias!! Facundo ojala sea eso y no covid,,es
"RT @PeterSweden7: You probably didn't hear about this on the news... 

Turns out Finland OVER REPORTED the number of covid deaths by a whop…",,en
RT @OccupyDemocrats: BREAKING: The European Union drops the hammer on Elon Musk and warns him that Twitter will be banned unless it starts…,,en
"RT @matthewdmarsden: Hey people that didn’t take the covid 19 vaccination. 

How are we even still alive?",,en
"RT @anthonyzenkus: Number of sick days Joe Biden took for COVID: 17

Number of parental leave days Pete Buttigieg took: 28

Number of guara…",,en
"RT @toadmeister: Britain didn't need Covid booster jabs as they only last 70 days, top virus expert Sir John Bell has said, as he backed na…",,en
"RT @mazemoore: @BillClinton Take care of yourself. That thing has killed millions of people. As for the Covid, you'll be better in no time.",,en
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
"RT @SenRonJohnson: Bottom line: the COVID-19 vaccine does not prevent infection or transmission.

So why does the Biden admin force our men…",,en
"RT @BNOFeed: U.S. COVID update: Number in hospital at nearly 3-month high

- New cases: 117,092
- Average: 45,860 (+1,845)
- States reporti…",,en
"RT @EpochTimes: #Twitter has stopped enforcing its #COVID19 “misleading information” policy.

The policy has resulted in nearly 100,000 pie…",,en
"RT @Liz_Wheeler: This is OUTSTANDING. Now that Twitter stopped censoring the truth about COVID, watch thisssss

 https://t.co/2ZWlRUS4fc",,en
"RT @BNOFeed: 3 years ago today: A man in Wuhan, China starts feeling ill and later becomes the first confirmed case of COVID-19. More than…",,en
"RT @BillClinton: I’ve tested positive for Covid. I’ve had mild symptoms, but I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
RT @pluredro: @blanc0981 同じような情報を以前から探していますが、憶測がほとんどでソースらしいソースを見つけられずにいます。どのぐらいの期間残っていたかという情報はあって、肺でワクチン接種後9カ月というものがあります。9カ月以降の追跡をしたかは不明です。…,,ja
i would spit on every member of s/w/m/r/s with a covid infected mouth i can tell you that much,,en
RT @YatinMota: China few mins back issues circular indicating soften stance of COVID Lockdowns,,en
"RT @CRBoxKits: The No COVID Fandelier 2!

Smaller bottom filter aim fans 45° down so they light the table not the wall. More chandelier-lik…",,en
"RT @JackPosobiec: CCP Covid troops known as Big Whites are launching a raid in Guangzhou 
https://t.co/jXo4AcbAow",,en
"RT @nikonikohigumam: フェイスブックが大変なことになっている

FacebookのCovidワクチンFat-Checkersが、ワクチン会社から資金提供を受けていることが判明した

https://t.co/LxSCMOmexY https://t.co/Z…",,ja
"RT @spottedpelican: Cruise ship full of COVID pos passengers has docked in Melbourne. It was due to dock in Newcastle on Tues, but the ship…",,en
"RT @FacesOfCOVID: SHEILA SHAMBAUGH, 59, of Salem, Massachusetts, died of a breakthrough COVID infection on Nov. 30, 2021. 

""Sheila was an…",,en
RT @jordanbpeterson: The Chinese can protest COVID authoritarianism but supporters of Canadian truckers need to have their bank accounts fr…,,en
"RT @philippeherlin: Scandale d’État : selon la CADA, «Les statistiques des personnes décédées ou hospitalisées depuis décembre 2020 selon l…",,fr
"RT @ProfSFindik: Dr.Parks : “ABD’de covid nedeni ile hastaneye yatırılan her 5 kişiden 4’ü s$ılı” 

Şaşırdık mı ?!?!",,tr
"RT @FriendsOScience: @TheRealKeean #ClimateChange. If you can't go anywhere, think of the reductions. That's why we probably were in a #Cli…",,en
"RT @ZhuangShufang: Whistleblower Movement Daily Reports-194
MILES GUO Posting on #GETTR：Besides attempting to defeat the U.S. dollar throug…",,en
"RT @OfficeOfMike: I’ve tested negative for Covid. I’ve had zero symptoms, so I’m doing fine overall and keeping myself busy at home.
 
I’m…",,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
RT @RealScarey: Triple jabbed and double boosted Bill Clinton just caught COVID for a 4th time and is grateful for the jabs that didn’t pre…,,en
"Yes.
If they are too Republican to get a COVID vaccine shot, they don't have to to be in the military. We don't need rebels in the army.
Tomorrow these Republican military people can say they don't want to fight b/c it is against their religion. https://t.co/9KD7qhD9WW",,en
"RT @Leftylockdowns1: c) ASK yourself what ulterior motives the person making the claim might have.  For example, if someone is director of…",,en
"@Mollyploofkins How can anyone get Covid more than once?

All the anti-vax rave about natural immunity. If natural immunity is a thing, people would get Covid once and never again. 

Are you saying anti-vax natural immunity is a lie?",,en
"RT @jorgesuarezv: Si hubieran vacunado con la eficiencia con la que repartieron tortas el domingo, miles de familias no lloraríamos a nuest…",,es
"RT @drDavidKeegan: Patient's family member yesterday, ""But if covid is still so bad, why isn't the government doing more to educate us?""

""…",,en
"RT @RepThomasMassie: You should have resigned a year ago over the misleading and false COVID vaccine claims you made, but the indefensible…",,en
"RT @AgustinLaje: China mantiene a su población esclavizada con el cuento del COVID-19 y las violaciones a los DDHH se intensifican.
Mientra…",,es
RT @RonnyJacksonTX: I STAND with the protestors who’re SICK of China’s abusive Covid lockdown policies. Covid is OVER. SHAME on the communi…,,en
"RT @fedurante: Trudeu condenou a forma como o gov da China está lidando com os protestos contra covid 0.
Bom, é assim que o gov dele lidou…",,pt
RT @MarshaBlackburn: The federal government has no business firing the men and women who chose not to get the COVID shot but chose to prote…,,en
"RT @ShangguanJiewen: During the pandemic:

US GDP has grown 3.4%
with
1,090,000+ Covid deaths 
with
98.3M cases.

China's GDP has grown 13.…",,en
"RT @scrowder: Now that Twitter stopped enforcing its COVID ""misinformation"" policies, I can finally tell you that the vaccine doesn't work,…",,en
RT @n_hold: I feel like my brain flipped a breaker from the combination of reading the news that the Mayo Clinic expects an 80% increase in…,,en
"@StefyOchoa Saludos @StefyOchoa desde la CDMX 🇲🇽 hasta Washington, EU 🇺🇸 y lamento mucho que te diera COVID por 2° vez.

Recupérate pronto para que sigas dando la mejor noticia en @Telemundo44 con todo tu equipo, fuerte abrazo y cuídate mucho.

Buena suerte y mejórate pronto Stefy. https://t.co/j4ojyzGdns",,es
"RT @catturd2: Imagine getting 5 vaccines in a year, catching COVID, then bragging about how great the vaccine is. 😂",,en
"RT @Ant52529536Jose: China - Desobediencia civil MASIVA, usando los autos para bloquear el camino a la policía comunista y no puedan llevar…",,es
"RT @renatajbarreto: Quando virem as atrocidades cometidas na China em nome da política de Covid Zero, lembrem-se disso aqui. https://t.co/d…",,pt
I cannot believe my covid ass is near a guy who needs open heart emergency surgery. None of what they are doing makes sense to me...none of it.,,en
"@Poppy_time @freddieminelli @DrJamesOlsson No one said the Vaccine would prevent you from getting Covid, that‘s not how Vaccines work. They just teach your body how to handle an Infection more efficiently.",,en
"RT @QueerlyAutistic: ""I'm a bit sick, but don't worry, it's not covid, so I can still come!"" 

Yeah, okay, but I don't want to get whatever…",,en
@WealthInc247 Sorry we made covid into something it never should have been.,,en
RT @BNOFeed: COVID-19 pandemic enters 4th year https://t.co/V8BuBk6epY,,en
"China reports 36,061 new Covid cases – Times of India https://t.co/LROTtswgGX",,en
"RT @ianmSC: In February the Wall Street Journal published an article praising China's ""Zero COVID"" policy, saying it held ""lessons for othe…",,en
"RT @TuckerToday: Cardiologist @DrAseemMalhotra suffered a recent, personal tragedy &amp; joins us to share his thoughts on possible harmful eff…",,en
"RT @Alzyl_Hany: 所以等待中國國家主席（習近平）在世界之主真主的允許下被擊倒死亡，事實上他是最大的罪犯，最叛逆至善者，
24.11.2022 AD

#Let_Who_Hates_Me_Dig_his_Grave
#COVIDIsTheGraveDigger
CO…",,zh
"RT @FotsTe: El Covid 19 fue un timo para vacunar a la gente, el propósito de la elite globalista disminuir la sociedad!",,es
